Name	Age	Nationality	Club	Joined
K. Navas	31	Costa Rica	Real Madrid	2014-08-03
R. Lukaku	25	Belgium	Manchester United	2017-07-10
C. Immobile	28	Italy	Lazio	2016-07-27
Jordi Alba	29	Spain	FC Barcelona	2012-07-01
D. Mertens	31	Belgium	Napoli	2013-07-01
J. Vertonghen	31	Belgium	Tottenham Hotspur	2012-07-01
M. Hamšík	30	Slovakia	Napoli	2007-07-01
I. Rakitić	30	Croatia	FC Barcelona	2014-07-01
Piqué	31	Spain	FC Barcelona	2008-07-01
L. Sané	22	Germany	Manchester City	2016-08-02
Bernardo Silva	23	Portugal	Manchester City	2017-07-01
Ederson	24	Brazil	Manchester City	2017-07-01
S. Mané	26	Senegal	Liverpool	2016-07-01
V. van Dijk	26	Netherlands	Liverpool	2018-01-01
R. Sterling	23	England	Manchester City	2015-07-14
Roberto Firmino	26	Brazil	Liverpool	2015-07-06
R. Varane	25	France	Real Madrid	2011-07-01
M. Verratti	25	Italy	Paris Saint-Germain	2012-07-18
Alex Sandro	27	Brazil	Juventus	2015-08-21
Douglas Costa	27	Brazil	Juventus	2018-07-01
T. Müller	28	Germany	FC Bayern München	2008-08-10
Thiago	27	Spain	FC Bayern München	2013-07-14
M. Reus	29	Germany	Borussia Dortmund	2012-07-01
Azpilicueta	28	Spain	Chelsea	2012-08-24
L. Bonucci	31	Italy	Juventus	2018-08-02
T. Alderweireld	29	Belgium	Tottenham Hotspur	2015-07-08
M. Pjanić	28	Bosnia Herzegovina	Juventus	2016-07-01
M. Benatia	31	Morocco	Juventus	2014-08-26
M. Özil	29	Germany	Arsenal	2013-09-02
Fernandinho	33	Brazil	Manchester City	2013-07-01
Iniesta	34	Spain	Vissel Kobe	2018-07-16
M. Škriniar	23	Slovakia	Inter	2017-07-07
S. Milinković-Savić	23	Serbia	Lazio	2015-08-06
Marco Asensio	22	Spain	Real Madrid	2015-07-01
N. Fekir	24	France	Olympique Lyonnais	2013-07-01
Alisson	25	Brazil	Liverpool	2018-07-19
J. Kimmich	23	Germany	FC Bayern München	2015-07-01
Saúl	23	Spain	Atlético Madrid	2013-07-01
R. Mahrez	27	Algeria	Manchester City	2018-07-10
D. Alaba	26	Austria	FC Bayern München	2010-02-10
Koke	26	Spain	Atlético Madrid	2011-01-01
A. Lacazette	27	France	Arsenal	2017-07-05
K. Manolas	27	Greece	Roma	2014-08-26
N. Otamendi	30	Argentina	Manchester City	2015-08-20
Parejo	29	Spain	Valencia CF	2011-07-01
Paulinho	29	Brazil	Guangzhou Evergrande Taobao FC	NA
W. Szczęsny	28	Poland	Juventus	2017-07-19
A. Sánchez	29	Chile	Manchester United	2018-01-22
Y. Brahimi	28	Algeria	FC Porto	2014-07-22
J. Boateng	29	Germany	FC Bayern München	2011-07-14
A. Vidal	31	Chile	FC Barcelona	2018-08-06
I. Perišić	29	Croatia	Inter	2015-09-01
E. Džeko	32	Bosnia Herzegovina	Roma	2015-07-01
S. Khedira	31	Germany	Juventus	2015-07-01
Diego Costa	29	Spain	Atlético Madrid	2018-01-01
R. Nainggolan	30	Belgium	Inter	2018-07-01
Naldo	35	Brazil	FC Schalke 04	2016-07-01
B. Matuidi	31	France	Juventus	2017-08-18
Miranda	33	Brazil	Inter	2017-07-01
K. Benzema	30	France	Real Madrid	2009-07-09
Filipe Luís	32	Brazil	Atlético Madrid	2015-07-28
V. Kompany	32	Belgium	Manchester City	2008-08-22
Pepe	35	Portugal	Beşiktaş JK	2017-07-04
Z. Ibrahimović	36	Sweden	LA Galaxy	2018-03-23
D. Sánchez	22	Colombia	Tottenham Hotspur	2017-08-26
J. Giménez	23	Uruguay	Atlético Madrid	2013-07-01
Alex Telles	25	Brazil	FC Porto	2016-07-13
A. Laporte	24	France	Manchester City	2018-01-30
Bruno Fernandes	23	Portugal	Sporting CP	2017-07-01
N. Süle	22	Germany	FC Bayern München	2017-07-01
A. Martial	22	France	Manchester United	2015-09-01
D. Alli	22	England	Tottenham Hotspur	2015-02-02
Fabinho	24	Brazil	Liverpool	2018-07-01
Marquinhos	24	Brazil	Paris Saint-Germain	2013-07-19
William Carvalho	26	Portugal	Real Betis	2018-07-13
Jorginho	26	Italy	Chelsea	2018-07-16
F. Thauvin	25	France	Olympique de Marseille	2017-07-01
Carvajal	26	Spain	Real Madrid	2013-07-05
M. Depay	24	Netherlands	Olympique Lyonnais	2017-01-20
H. Son	25	Korea Republic	Tottenham Hotspur	2015-08-28
A. Lopes	27	Portugal	Olympique Lyonnais	2011-07-01
S. de Vrij	26	Netherlands	Inter	2018-07-01
M. Perin	25	Italy	Juventus	2018-07-01
J. Cuadrado	30	Colombia	Juventus	2015-02-02
Iago Aspas	30	Spain	RC Celta	2015-07-01
B. Leno	26	Germany	Arsenal	2018-07-01
N. Matić	29	Serbia	Manchester United	2017-07-31
L. Hrádecký	28	Finland	Bayer 04 Leverkusen	2018-07-01
Illarramendi	28	Spain	Real Sociedad	2015-08-26
K. Walker	28	England	Manchester City	2017-07-14
I. Gündoğan	27	Germany	Manchester City	2016-07-01
José Callejón	31	Spain	Napoli	2013-07-11
A. Di María	30	Argentina	Paris Saint-Germain	2015-08-06
M. Mandžukić	32	Croatia	Juventus	2015-07-01
Willian	29	Brazil	Chelsea	2013-08-28
Sergio Asenjo	29	Spain	Villarreal CF	2014-06-30
E. Banega	30	Argentina	Sevilla FC	2017-07-03
A. Witsel	29	Belgium	Borussia Dortmund	2018-08-17
D. Payet	31	France	Olympique de Marseille	2017-01-30
Jonas	34	Brazil	SL Benfica	2014-09-12
Sokratis	30	Greece	Arsenal	2018-07-02
S. Ruffier	31	France	AS Saint-Étienne	2011-07-11
Falcao	32	Colombia	AS Monaco	2013-07-01
K. Schmeichel	31	Denmark	Leicester City	2011-06-01
Raúl Albiol	32	Spain	Napoli	2013-07-21
A. Gómez	30	Argentina	Atalanta	2014-09-02
A. Barzagli	37	Italy	Juventus	2011-01-01
Quaresma	34	Portugal	Beşiktaş JK	2015-07-22
A. Robben	34	Netherlands	FC Bayern München	2009-08-28
O. Dembélé	21	France	FC Barcelona	2017-08-28
Gabriel Jesus	21	Brazil	Manchester City	2016-08-03
Ronaldo Cabrais	26	Brazil	Grêmio	2018-01-01
Josué Chiamulera	26	Brazil	Grêmio	2018-01-01
Louri Beretta	26	Brazil	Atlético Mineiro	2018-01-01
P. Kimpembe	22	France	Paris Saint-Germain	2015-07-01
N. Keïta	23	Guinea	Liverpool	2018-07-01
C. Tolisso	23	France	FC Bayern München	2017-07-01
T. Lemar	22	France	Atlético Madrid	2018-07-01
K. Coman	22	France	FC Bayern München	2015-08-30
J. Tah	22	Germany	Bayer 04 Leverkusen	2015-07-16
Anderson Talisca	24	Brazil	Guangzhou Evergrande Taobao FC	NA
T. Werner	22	Germany	RB Leipzig	2016-07-01
A. Rabiot	23	France	Paris Saint-Germain	2012-07-01
L. Goretzka	23	Germany	FC Bayern München	2018-07-01
Q. Promes	26	Netherlands	Sevilla FC	2018-08-31
H. Ziyech	25	Morocco	Ajax	2016-08-30
Lucas Vázquez	27	Spain	Real Madrid	2015-07-02
Y. Carrasco	24	Belgium	Dalian YiFang FC	2018-02-26
Gerard Moreno	26	Spain	Villarreal CF	2018-07-02
Felipe	29	Brazil	FC Porto	2016-07-01
M. Kovačić	24	Croatia	Chelsea	NA
Kepa	23	Spain	Chelsea	2018-08-08
Manu Trigueros	26	Spain	Villarreal CF	2011-07-01
S. Gnabry	22	Germany	FC Bayern München	2017-07-01
J. Pickford	24	England	Everton	2017-06-15
S. Savić	27	Montenegro	Atlético Madrid	2015-07-20
J. Stones	24	England	Manchester City	2016-08-09
Suso	24	Spain	Milan	2015-01-17
J. Draxler	24	Germany	Paris Saint-Germain	2017-01-03
Felipe Anderson	25	Brazil	West Ham United	2018-07-15
Lucas Moura	25	Brazil	Tottenham Hotspur	2018-01-31
Danilo Pereira	26	Portugal	FC Porto	2015-07-02
Nacho Fernández	28	Spain	Real Madrid	2010-08-01
T. Horn	25	Germany	1. FC Köln	2011-07-01
Allan	27	Brazil	Napoli	2015-07-22
F. Acerbi	30	Italy	Lazio	2018-07-11
Sergi Roberto	26	Spain	FC Barcelona	2013-07-01
Rodrigo	27	Spain	Valencia CF	2014-12-03
Pizzi	28	Portugal	SL Benfica	2013-07-30
K. Kampl	27	Slovenia	RB Leipzig	2017-08-31
Neto	28	Brazil	Valencia CF	2017-07-07
O. Baumann	28	Germany	TSG 1899 Hoffenheim	2014-07-01
I. Gueye	28	Senegal	Everton	2016-08-03
H. Mkhitaryan	29	Armenia	Arsenal	2018-01-22
Marcos Alonso	27	Spain	Chelsea	2016-08-31
D. Subašić	33	Croatia	AS Monaco	2012-01-24
K. Glik	30	Poland	AS Monaco	2016-07-06
K. Strootman	28	Netherlands	Olympique de Marseille	2018-08-28
B. Dost	29	Netherlands	Sporting CP	2016-08-28
Oscar	26	Brazil	Shanghai SIPG FC	2017-01-01
M. Balotelli	27	Italy	OGC Nice	2016-08-31
Luiz Gustavo	30	Brazil	Olympique de Marseille	2017-07-04
Giuliano	28	Brazil	Al Nassr	2018-08-20
David Luiz	31	Brazil	Chelsea	2016-08-31
R. Fährmann	29	Germany	FC Schalke 04	2011-07-01
Juan Mata	30	Spain	Manchester United	2014-01-25
Adán	31	Spain	Atlético Madrid	2018-07-10
Rui Patrício	30	Portugal	Wolverhampton Wanderers	2018-06-18
Y. Sommer	29	Switzerland	Borussia Mönchengladbach	2014-07-01
Javi Martínez	29	Spain	FC Bayern München	2012-08-29
L. Bender	29	Germany	Bayer 04 Leverkusen	2009-08-18
Lucas Leiva	31	Brazil	Lazio	2017-07-18
S. Mandanda	33	France	Olympique de Marseille	2017-07-11
Cesc Fàbregas	31	Spain	Chelsea	2014-07-01
M. Dembélé	30	Belgium	Tottenham Hotspur	2012-08-01
F. Ribéry	35	France	FC Bayern München	2007-07-01
R. Jarstein	33	Norway	Hertha BSC	2014-01-01
D. De Rossi	34	Italy	Roma	2002-07-01
Pepe Reina	35	Spain	Milan	2018-07-02
J. Pavlenka	26	Czech Republic	SV Werder Bremen	2017-07-01
M. de Ligt	18	Netherlands	Ajax	2016-10-24
Rodri	22	Spain	Atlético Madrid	2018-07-01
Arthur	21	Brazil	FC Barcelona	2018-07-09
G. Donnarumma	19	Italy	Milan	2015-07-01
Rosberto Dourado	30	Brazil	Atlético Mineiro	2018-01-01
Juiano Mestres	34	Brazil	Cruzeiro	2018-01-01
Raphaelito Anjos	30	Brazil	Grêmio	2018-01-01
Gelson Martins	23	Portugal	Atlético Madrid	2018-07-25
Gonçalo Guedes	21	Portugal	Valencia CF	2018-08-29
L. Torreira	22	Uruguay	Arsenal	2018-07-12
Malcom	21	Brazil	FC Barcelona	2018-07-24
Pau López	23	Spain	Real Betis	2018-07-04
L. Hernández	22	France	Atlético Madrid	2015-07-01
C. Lenglet	23	France	FC Barcelona	2018-07-12
A. Kramarić	27	Croatia	TSG 1899 Hoffenheim	2015-01-16
A. Robertson	24	Scotland	Liverpool	2017-07-21
Dani García	28	Spain	Athletic Club de Bilbao	2018-07-02
F. Bernardeschi	24	Italy	Juventus	2017-07-24
J. Brandt	22	Germany	Bayer 04 Leverkusen	2014-01-01
D. Rugani	23	Italy	Juventus	2015-02-04
Samu Castillejo	23	Spain	Milan	2018-08-17
João Cancelo	24	Portugal	Juventus	2018-07-01
A. Romagnoli	23	Italy	Milan	2015-08-11
T. Partey	25	Ghana	Atlético Madrid	2015-07-01
Fred	25	Brazil	Manchester United	2018-06-21
J. Vardy	31	England	Leicester City	2012-05-01
A. Belotti	24	Italy	Torino	2015-08-17
E. Forsberg	26	Sweden	RB Leipzig	2015-01-07
J. Lingard	25	England	Manchester United	2010-07-01
F. Vázquez	29	Argentina	Sevilla FC	2016-07-16
E. Višća	28	Bosnia Herzegovina	Medipol Başakşehir FK	2011-08-16
A. Rüdiger	25	Germany	Chelsea	2017-07-09
A. Florenzi	27	Italy	Roma	2010-07-01
H. Maguire	25	England	Leicester City	2017-06-15
T. Meunier	26	Belgium	Paris Saint-Germain	2016-07-03
S. Sané	27	Senegal	FC Schalke 04	2018-07-01
G. Kondogbia	25	Central African Rep.	Valencia CF	2018-07-02
Rafinha	25	Brazil	FC Barcelona	2013-07-01
Gabriel Paulista	27	Brazil	Valencia CF	2017-08-18
Morata	25	Spain	Chelsea	2017-07-21
J. Cillessen	29	Netherlands	FC Barcelona	2016-08-25
W. Ben Yedder	27	France	Sevilla FC	2016-07-30
C. Bakambu	27	DR Congo	Beijing Sinobo Guoan FC	2018-01-17
Pablo Sarabia	26	Spain	Sevilla FC	2016-07-01
W. Zaha	25	Ivory Coast	Crystal Palace	2015-02-02
Luis Alberto	25	Spain	Lazio	2016-08-31
Jonathan Viera	28	Spain	Beijing Sinobo Guoan FC	2018-02-19
Bartra	27	Spain	Real Betis	2018-01-30
S. Coates	27	Uruguay	Sporting CP	2017-01-31
Willian José	26	Brazil	Real Sociedad	2016-07-31
Mário Fernandes	27	Russia	PFC CSKA Moscow	2012-07-01
Víctor Ruiz	29	Spain	Villarreal CF	2015-07-01
T. Delaney	26	Denmark	Borussia Dortmund	2018-07-01
K. Casteels	26	Belgium	VfL Wolfsburg	2015-01-21
M. Götze	26	Germany	Borussia Dortmund	2016-08-01
S. Mustafi	26	Germany	Arsenal	2016-08-30
J. Pastore	29	Argentina	Roma	2018-07-01
Pedro	30	Spain	Chelsea	2015-08-20
G. Bonaventura	28	Italy	Milan	2014-09-01
R. Bürki	27	Switzerland	Borussia Dortmund	2015-07-01
Taison	30	Brazil	Shakhtar Donetsk	2013-01-11
S. Nzonzi	29	France	Roma	2018-08-14
Marlos	30	Ukraine	Shakhtar Donetsk	2014-07-04
A. Ramsey	27	Wales	Arsenal	2008-06-13
K. Trippier	27	England	Tottenham Hotspur	2015-06-19
A. Kolarov	32	Serbia	Roma	2017-07-22
G. Sigurðsson	28	Iceland	Everton	2017-08-16
S. Giovinco	31	Italy	Toronto FC	2015-02-03
M. Arnautović	29	Austria	West Ham United	2017-07-23
N. Gaitán	30	Argentina	Dalian YiFang FC	2018-02-27
J. Henderson	28	England	Liverpool	2011-06-09
M. Kruse	30	Germany	SV Werder Bremen	2016-08-02
M. Parolo	33	Italy	Lazio	2014-07-01
L. Fejsa	29	Serbia	SL Benfica	2013-08-24
A. Rami	32	France	Olympique de Marseille	2017-07-13
V. Ćorluka	32	Croatia	Lokomotiv Moscow	2012-06-27
G. Wijnaldum	27	Netherlands	Liverpool	2016-07-22
F. Fazio	31	Argentina	Roma	2017-07-15
O. Giroud	31	France	Chelsea	2018-01-31
Marcano	31	Spain	Roma	2018-07-01
A. Guardado	31	Mexico	Real Betis	2017-07-07
E. Garay	31	Argentina	Valencia CF	2016-08-31
Jardel	32	Brazil	SL Benfica	2011-01-01
S. Sirigu	31	Italy	Torino	2017-06-27
E. Viviano	32	Italy	Sporting CP	2018-07-01
L. Koscielny	32	France	Arsenal	2010-07-07
A. Consigli	31	Italy	Sassuolo	2014-09-01
L. Biglia	32	Argentina	Milan	2017-07-17
Dani Alves	35	Brazil	Paris Saint-Germain	2017-07-12
David Villa	36	Spain	New York City FC	2014-07-01
Aduriz	37	Spain	Athletic Club de Bilbao	2012-07-01
P. Čech	36	Czech Republic	Arsenal	2015-06-29
Casillas	37	Spain	FC Porto	2015-07-12
M. Rashford	20	England	Manchester United	2014-07-01
Laure Santeiro	30	Brazil	Fluminense	2018-01-01
L. Bailey	20	Jamaica	Bayer 04 Leverkusen	2017-01-31
M. Akanji	22	Switzerland	Borussia Dortmund	2018-01-15
F. de Jong	21	Netherlands	Ajax	2015-08-25
Nélson Semedo	24	Portugal	FC Barcelona	2017-07-14
Pablo Fornals	22	Spain	Villarreal CF	2017-07-24
Fabián	22	Spain	Napoli	2018-07-05
E. Bailly	24	Ivory Coast	Manchester United	2016-07-01
Dani Ceballos	21	Spain	Real Madrid	2017-07-14
H. Lozano	22	Mexico	PSV	2017-07-21
Morales	30	Spain	Levante UD	2011-06-01
J. Seri	26	Ivory Coast	Fulham	2018-07-12
M. Politano	24	Italy	Inter	NA
M. Brozović	25	Croatia	Inter	2016-07-01
Williams	24	Spain	Athletic Club de Bilbao	2012-08-01
A. Correa	23	Argentina	Atlético Madrid	2014-12-13
A. Christensen	22	Denmark	Chelsea	2013-04-10
João Mário	25	Portugal	Inter	2016-08-28
T. Strakosha	23	Albania	Lazio	2012-08-09
E. Hysaj	24	Albania	Napoli	2015-08-02
P. Zieliński	24	Poland	Napoli	2016-08-09
Ricardo Pereira	24	Portugal	Leicester City	2018-06-09
Grimaldo	22	Spain	SL Benfica	2016-01-04
R. Guerreiro	24	Portugal	Borussia Dortmund	2016-07-01
A. Doucouré	25	France	Watford	2016-02-02
J. Martínez	25	Venezuela	Atlanta United	2017-03-22
C. Bacca	31	Colombia	Villarreal CF	2018-08-17
A. Plea	25	France	Borussia Mönchengladbach	2018-07-13
B. Davies	25	Wales	Tottenham Hotspur	2014-07-23
M. Nastasić	25	Serbia	FC Schalke 04	2015-01-14
A. Milik	24	Poland	Napoli	2016-08-02
M. Sabitzer	24	Austria	RB Leipzig	2014-07-01
B. Mendy	23	France	Manchester City	2017-07-24
C. Kramer	27	Germany	Borussia Mönchengladbach	2016-07-01
S. Vrsaljko	26	Croatia	Inter	NA
T. Hazard	25	Belgium	Borussia Mönchengladbach	2015-07-01
K. Bellarabi	28	Germany	Bayer 04 Leverkusen	2011-07-01
S. Zaza	27	Italy	Torino	NA
F. Ghoulam	27	Algeria	Napoli	2014-01-31
B. Lecomte	27	France	Montpellier HSC	2017-07-01
J. Iličić	30	Slovenia	Atalanta	2017-07-05
K. Volland	25	Germany	Bayer 04 Leverkusen	2016-07-01
Paco Alcácer	24	Spain	Borussia Dortmund	2018-11-23
Vitolo	28	Spain	Atlético Madrid	2017-07-12
G. Xhaka	25	Switzerland	Arsenal	2016-07-01
D. Tadić	29	Serbia	Ajax	2018-07-03
C. Aránguiz	29	Chile	Bayer 04 Leverkusen	2015-08-13
S. Verdi	25	Italy	Napoli	2018-07-01
D. Lovren	28	Croatia	Liverpool	2014-07-27
G. Medel	30	Chile	Beşiktaş JK	2017-08-11
X. Shaqiri	26	Switzerland	Liverpool	2018-07-13
J. Corona	25	Mexico	FC Porto	2015-08-31
A. Areola	25	France	Paris Saint-Germain	2010-07-01
K. Vogt	26	Germany	TSG 1899 Hoffenheim	2016-07-01
Ander Herrera	28	Spain	Manchester United	2014-06-26
E. Salvio	27	Argentina	SL Benfica	2012-07-01
S. El Shaarawy	25	Italy	Roma	2016-01-26
C. Smalling	28	England	Manchester United	2010-07-01
Hulk	31	Brazil	Shanghai SIPG FC	2017-07-01
S. Kagawa	29	Japan	Borussia Dortmund	2014-08-31
M. Lanzini	25	Argentina	West Ham United	2016-07-01
F. Smolov	28	Russia	Lokomotiv Moscow	2018-08-09
L. Stindl	29	Germany	Borussia Mönchengladbach	2015-07-01
O. Toprak	28	Turkey	Borussia Dortmund	2017-07-01
D. Perotti	29	Argentina	Roma	2016-01-01
F. Muslera	32	Uruguay	Galatasaray SK	2011-08-11
B. Höwedes	30	Germany	Lokomotiv Moscow	2018-07-31
S. Kjær	29	Denmark	Sevilla FC	2017-08-02
S. Bender	29	Germany	Bayer 04 Leverkusen	2017-07-13
M. Valbuena	33	France	Fenerbahçe SK	2017-06-17
Pedro León	31	Spain	SD Eibar	2016-07-05
K. Boateng	31	Ghana	Sassuolo	2018-07-05
L. Piszczek	33	Poland	Borussia Dortmund	2010-07-01
A. Candreva	31	Italy	Inter	2016-08-03
D. Wass	29	Denmark	Valencia CF	2018-07-10
E. Lamela	26	Argentina	Tottenham Hotspur	2013-08-30
D. Rose	27	England	Tottenham Hotspur	2007-07-01
C. Vela	29	Mexico	Los Angeles FC	2018-01-01
Renato Augusto	30	Brazil	Beijing Sinobo Guoan FC	2016-01-08
A. Valencia	32	Ecuador	Manchester United	2009-06-30
L. Fabiański	33	Poland	West Ham United	2018-06-20
João Moutinho	31	Portugal	Wolverhampton Wanderers	2018-07-24
Borja Valero	33	Spain	Inter	2017-07-10
F. Quagliarella	35	Italy	Sampdoria	2016-07-01
B. Gomis	32	France	Al Hilal	2018-08-23
Manuel Fernandes	32	Portugal	Lokomotiv Moscow	2014-07-01
H. Herrera	28	Mexico	FC Porto	2013-07-01
Raffael	33	Brazil	Borussia Mönchengladbach	2013-07-01
Nani	31	Portugal	Sporting CP	2018-07-11
J. Milner	32	England	Liverpool	2015-07-01
J. Mathieu	34	France	Sporting CP	2017-07-07
Joaquín	36	Spain	Real Betis	2015-09-01
M. Gómez	21	Uruguay	RC Celta	2017-07-01
K. Havertz	19	Germany	Bayer 04 Leverkusen	2016-07-01
T. Ndombele	21	France	Olympique Lyonnais	2018-07-01
H. Aouar	20	France	Olympique Lyonnais	2016-07-01
Carlos Soler	21	Spain	Valencia CF	2015-07-01
Odriozola	22	Spain	Real Madrid	2018-07-05
M. Almirón	24	Paraguay	Atlanta United	2017-01-01
Welington Dano	30	Brazil	Cruzeiro	2018-01-01
Everton Andrão	34	Brazil	Fluminense	2018-01-01
Oyarzabal	21	Spain	Real Sociedad	2014-07-01
F. Balbuena	26	Paraguay	West Ham United	2018-07-14
M. Marega	27	Mali	FC Porto	2016-01-25
B. Pavard	22	France	VfB Stuttgart	2016-08-30
W. Ndidi	21	Nigeria	Leicester City	2017-01-05
A. Onana	22	Cameroon	Ajax	2015-01-14
G. Lo Celso	22	Argentina	Real Betis	NA
M. Acuña	26	Argentina	Sporting CP	2017-07-21
Rúben Neves	21	Portugal	Wolverhampton Wanderers	2017-07-08
Mariano	24	Dominican Republic	Real Madrid	2018-08-29
Raúl	28	Brazil	SC Braga	2017-07-01
M. Caldara	24	Italy	Milan	2018-08-02
M. Vecino	26	Uruguay	Inter	2017-08-02
T. Bakayoko	23	France	Milan	NA
M. Dahoud	22	Germany	Borussia Dortmund	2017-07-01
Rafa	25	Portugal	SL Benfica	2016-08-31
K. Baldé	23	Senegal	Inter	NA
G. Rulli	26	Argentina	Real Sociedad	2017-01-01
F. Armani	31	Argentina	River Plate	2018-01-12
Rony Lopes	22	Portugal	AS Monaco	2015-08-28
Santi Mina	22	Spain	Valencia CF	2015-07-04
K. Demirbay	24	Germany	TSG 1899 Hoffenheim	2016-07-13
Gayà	23	Spain	Valencia CF	2012-09-13
André Gomes	24	Portugal	Everton	NA
N. Tagliafico	25	Argentina	Ajax	2018-01-05
M. Sanson	23	France	Olympique de Marseille	2017-01-17
Pacheco	26	Spain	Deportivo Alavés	2015-08-07
E. Can	24	Germany	Juventus	2018-07-01
H. Çalhanoğlu	24	Turkey	Milan	2017-07-03
M. Ginter	24	Germany	Borussia Mönchengladbach	2017-07-04
M. Keane	25	England	Everton	2017-07-03
L. Paredes	24	Argentina	NA	NA
T. Stepanenko	28	Ukraine	Shakhtar Donetsk	2010-07-01
L. Shaw	22	England	Manchester United	2014-06-27
Z. Feddal	28	Morocco	Real Betis	2017-07-24
S. Haller	24	France	Eintracht Frankfurt	2017-07-01
Bernard	25	Brazil	Everton	2018-08-09
T. Inui	30	Japan	Real Betis	2018-07-02
Portu	26	Spain	Girona FC	2016-07-01
M. Batshuayi	24	Belgium	Valencia CF	NA
E. Zahavi	30	Israel	Guangzhou R&F; FC	2016-07-01
T. Vaclík	29	Czech Republic	Sevilla FC	2018-07-04
N. Pope	26	England	Burnley	2016-07-20
Héctor Bellerín	23	Spain	Arsenal	2014-07-01
P. Kadeřábek	26	Czech Republic	TSG 1899 Hoffenheim	2015-07-01
J. Butland	25	England	Stoke City	2013-01-31
J. Vestergaard	25	Denmark	Southampton	2018-07-13
J. Tarkowski	25	England	Burnley	2016-02-01
Deulofeu	24	Spain	Watford	2018-06-11
E. Dier	24	England	Tottenham Hotspur	2014-08-02
J. Murillo	26	Colombia	Valencia CF	2018-08-18
M. Badelj	29	Croatia	Lazio	2018-08-01
Ismaily	28	Brazil	Shakhtar Donetsk	2013-02-14
N. Schulz	25	Germany	TSG 1899 Hoffenheim	2017-07-08
L. Digne	24	France	Everton	2018-08-01
M. Uth	26	Germany	FC Schalke 04	2018-07-01
Cristian Tello	26	Spain	Real Betis	2017-07-01
D. Vida	29	Croatia	Beşiktaş JK	2018-01-03
L. Muriel	27	Colombia	Sevilla FC	2017-07-11
V. Aboubakar	26	Cameroon	FC Porto	2014-08-24
A. Oxlade-Chamberlain	24	England	Liverpool	2017-08-31
S. Aurier	25	Ivory Coast	Tottenham Hotspur	2017-08-31
J. Matip	26	Cameroon	Liverpool	2016-07-01
Y. Rakitskyi	28	Ukraine	Shakhtar Donetsk	2009-08-01
Sergi Enrich	28	Spain	SD Eibar	2015-07-12
A. Yarmolenko	28	Ukraine	West Ham United	2018-07-11
Hugo Mallo	27	Spain	RC Celta	2009-07-01
André Almeida	27	Portugal	SL Benfica	2011-07-01
D. Didavi	28	Germany	VfB Stuttgart	2018-07-01
R. Rodríguez	25	Switzerland	Milan	2017-07-01
R. Pereyra	27	Argentina	Watford	2016-08-19
Mario Gaspar	27	Spain	Villarreal CF	2008-07-01
Maicon	29	Brazil	Galatasaray SK	2017-07-01
